Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
064,Kadabra,Psiquico,,40,35,30,120,70,105
065,Alakazam,Psiquico,,55,50,45,135,95,120
066,Machop,Lucha,,70,80,50,35,35,35
067,Machoke,Lucha,,80,100,70,50,60,45
068,Machamp,Lucha,,90,130,80,65,85,55
069,Bellsprout,Planta,Veneno,50,75,35,70,30,40
070,Weepinbell,Planta,Veneno,65,90,50,85,45,55
071,Victreebel,Planta,Veneno,80,105,65,100,70,70
072,Tentacool,Agua,Veneno,40,40,35,50,100,70
073,Tentacruel,Agua,Veneno,80,70,65,80,120,100
074,Geodude,Roca,Tierra,40,80,100,30,30,20
075,Graveler,Roca,Tierra,55,95,115,45,45,35
076,Golem,Roca,Tierra,80,120,130,55,65,45
077,Ponyta,Fuego,,50,85,55,65,65,90
078,Rapidash,Fuego,,65,100,70,80,80,105
079,Slowpoke,Agua,Psiquico,90,65,65,40,40,15
080,Slowbro,Agua,Psiquico,95,75,110,100,80,30
081,Magnemite,Electrico,Steel,25,35,70,95,55,45
082,Magneton,Electrico,Steel,50,60,95,120,70,70
083,Farfetch'd,Normal,Volador,52,90,55,58,62,60
084,Doduo,Normal,Volador,35,85,45,35,35,75
085,Dodrio,Normal,Volador,60,110,70,60,60,110
086,Seel,Agua,,65,45,55,45,70,45
087,Dewgong,Agua,Hielo,90,70,80,70,95,70
088,Grimer,Veneno,,80,80,50,40,50,25
089,Muk,Veneno,,105,105,75,65,100,50
090,Shellder,Agua,,30,65,100,45,25,40
091,Cloyster,Agua,Hielo,50,95,180,85,45,70
092,Gastly,Fantasma,Veneno,30,35,30,100,35,80
093,Haunter,Fantasma,Veneno,45,50,45,115,55,95
094,Gengar,Fantasma,Veneno,60,65,60,130,75,110
095,Onix,Roca,Tierra,35,45,160,30,45,70
096,Drowzee,Psiquico,,60,48,45,43,90,42
097,Hypno,Psiquico,,85,73,70,73,115,67
098,Krabby,Agua,,30,105,90,25,25,50
099,Kingler,Agua,,55,130,115,50,50,75
100,Voltorb,Electrico,,40,30,50,55,55,100
101,Electrode,Electrico,,60,50,70,80,80,150
102,Exeggcute,Planta,Psiquico,60,40,80,60,45,40
103,Exeggutor,Planta,Psiquico,95,95,85,125,75,55
104,Cubone,Tierra,,50,50,95,40,50,35
105,Marowak,Tierra,,60,80,110,50,80,45
106,Hitmonlee,Lucha,,50,120,53,35,110,87
107,Hitmonchan,Lucha,,50,105,79,35,110,76
108,Lickitung,Normal,,90,55,75,60,75,30
109,Koffing,Veneno,,40,65,95,60,45,35
110,Weezing,Veneno,,65,90,120,85,70,60
111,Rhyhorn,Tierra,Roca,80,85,95,30,30,25
112,Rhydon,Tierra,Roca,105,130,120,45,45,40
113,Chansey,Normal,,250,5,5,35,105,50
114,Tangela,Planta,,65,55,115,100,40,60
115,Kangaskhan,Normal,,105,95,80,40,80,90
116,Horsea,Agua,,30,40,70,70,25,60
117,Seadra,Agua,,55,65,95,95,45,85
118,Goldeen,Agua,,45,67,60,35,50,63
119,Seaking,Agua,,80,92,65,65,80,68
120,Staryu,Agua,,30,45,55,70,55,85
121,Starmie,Agua,Psiquico,60,75,85,100,85,115
122,Mr. Mime,Psiquico,Hada,40,45,65,100,120,90
123,Scyther,Bicho,Volador,70,110,80,55,80,105
124,Jynx,Hielo,Psiquico,65,50,35,115,95,95
125,Electabuzz,Electrico,,65,83,57,95,85,105
126,Magmar,Fuego,,65,95,57,100,85,93
127,Pinsir,Bicho,,65,125,100,55,70,85
128,Tauros,Normal,,75,100,95,40,70,110
129,Magikarp,Agua,,20,10,55,15,20,80
130,Gyarados,Agua,Volador,95,125,79,60,100,81
131,Lapras,Agua,Hielo,130,85,80,85,95,60
132,Ditto,Normal,,48,48,48,48,48,48
133,Eevee,Normal,,55,55,50,45,65,55
134,Vaporeon,Agua,,130,65,60,110,95,65
135,Jolteon,Electrico,,65,65,60,110,95,130
136,Flareon,Fuego,,65,130,60,95,110,65
137,Porygon,Normal,,65,60,70,85,75,40
138,Omanyte,Roca,Agua,35,40,100,90,55,35
139,Omastar,Roca,Agua,70,60,125,115,70,55
140,Kabuto,Roca,Agua,30,80,90,55,45,55
141,Kabutops,Roca,Agua,60,115,105,65,70,80
142,Aerodactyl,Roca,Volador,80,105,65,60,75,130
143,Snorlax,Normal,,160,110,65,65,110,30
144,Articuno,Hielo,Volador,90,85,100,95,125,85
145,Zapdos,Electrico,Volador,90,90,85,125,90,100
146,Moltres,Fuego,Volador,90,100,90,125,85,90
147,Dratini,Dragon,,41,64,45,50,50,50
148,Dragonair,Dragon,,61,84,65,70,70,70
149,Dragonite,Dragon,Volador,91,134,95,100,100,80
150,Mewtwo,Psiquico,,106,110,90,154,90,130
151,Mew,Psiquico,,100,100,100,100,100,100
